Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[organism part]	Characteristics[stimulus]	Characteristics[inferred cell type]	Characteristics[plate identity]	Characteristics[run id]	Characteristics[single cell well quality]	Characteristics[post analysis well quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]	Factor Value[cell type]	Factor Value[FACS marker]	Factor Value[organism part]	Factor Value[stimulus]	Factor Value[inferred cell type]
23971_#103	ERS3961060	SAMEA6161049	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#103	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#103	sequencing assay	ERX3640696	23971_103_R1.fastq.gz	23971_103_R1.fastq.gz	ERR3648612	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3648612/ERR3648612_1.fastq.gz	cell23971_103	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#103	ERS3961060	SAMEA6161049	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#103	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#103	sequencing assay	ERX3640696	23971_103_R2.fastq.gz	23971_103_R2.fastq.gz	ERR3648612	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3648612/ERR3648612_2.fastq.gz	cell23971_103	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#104	ERS3961061	SAMEA6161050	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#104	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#104	sequencing assay	ERX3640697	23971_104_R1.fastq.gz	23971_104_R1.fastq.gz	ERR3648613	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3648613/ERR3648613_1.fastq.gz	cell23971_104	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#104	ERS3961061	SAMEA6161050	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#104	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#104	sequencing assay	ERX3640697	23971_104_R2.fastq.gz	23971_104_R2.fastq.gz	ERR3648613	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3648613/ERR3648613_2.fastq.gz	cell23971_104	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#105	ERS3961062	SAMEA6161051	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#105	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#105	sequencing assay	ERX3640698	23971_105_R1.fastq.gz	23971_105_R1.fastq.gz	ERR3648614	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3648614/ERR3648614_1.fastq.gz	cell23971_105	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#105	ERS3961062	SAMEA6161051	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#105	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#105	sequencing assay	ERX3640698	23971_105_R2.fastq.gz	23971_105_R2.fastq.gz	ERR3648614	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3648614/ERR3648614_2.fastq.gz	cell23971_105	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#106	ERS3961063	SAMEA6161052	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#106	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#106	sequencing assay	ERX3640699	23971_106_R1.fastq.gz	23971_106_R1.fastq.gz	ERR3648615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648615/ERR3648615_1.fastq.gz	cell23971_106	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#106	ERS3961063	SAMEA6161052	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#106	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#106	sequencing assay	ERX3640699	23971_106_R2.fastq.gz	23971_106_R2.fastq.gz	ERR3648615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648615/ERR3648615_2.fastq.gz	cell23971_106	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#107	ERS3961064	SAMEA6161053	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#107	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#107	sequencing assay	ERX3640700	23971_107_R1.fastq.gz	23971_107_R1.fastq.gz	ERR3648616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648616/ERR3648616_1.fastq.gz	cell23971_107	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#107	ERS3961064	SAMEA6161053	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#107	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#107	sequencing assay	ERX3640700	23971_107_R2.fastq.gz	23971_107_R2.fastq.gz	ERR3648616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648616/ERR3648616_2.fastq.gz	cell23971_107	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#108	ERS3961065	SAMEA6161054	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#108	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#108	sequencing assay	ERX3640701	23971_108_R1.fastq.gz	23971_108_R1.fastq.gz	ERR3648617	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648617/ERR3648617_1.fastq.gz	cell23971_108	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#108	ERS3961065	SAMEA6161054	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#108	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#108	sequencing assay	ERX3640701	23971_108_R2.fastq.gz	23971_108_R2.fastq.gz	ERR3648617	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648617/ERR3648617_2.fastq.gz	cell23971_108	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#109	ERS3961066	SAMEA6161055	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYB	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#109	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#109	sequencing assay	ERX3640702	23971_109_R1.fastq.gz	23971_109_R1.fastq.gz	ERR3648618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648618/ERR3648618_1.fastq.gz	cell23971_109	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#109	ERS3961066	SAMEA6161055	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYB	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#109	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#109	sequencing assay	ERX3640702	23971_109_R2.fastq.gz	23971_109_R2.fastq.gz	ERR3648618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648618/ERR3648618_2.fastq.gz	cell23971_109	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#11	ERS3961067	SAMEA6161056	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#11	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#11	sequencing assay	ERX3640703	23971_11_R1.fastq.gz	23971_11_R1.fastq.gz	ERR3648619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648619/ERR3648619_1.fastq.gz	cell23971_11	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	activated dendritic cell
23971_#11	ERS3961067	SAMEA6161056	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#11	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#11	sequencing assay	ERX3640703	23971_11_R2.fastq.gz	23971_11_R2.fastq.gz	ERR3648619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648619/ERR3648619_2.fastq.gz	cell23971_11	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	activated dendritic cell
23971_#110	ERS3961068	SAMEA6161057	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYB	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#110	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#110	sequencing assay	ERX3640704	23971_110_R1.fastq.gz	23971_110_R1.fastq.gz	ERR3648620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648620/ERR3648620_1.fastq.gz	cell23971_110	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
23971_#110	ERS3961068	SAMEA6161057	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYB	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#110	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#110	sequencing assay	ERX3640704	23971_110_R2.fastq.gz	23971_110_R2.fastq.gz	ERR3648620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648620/ERR3648620_2.fastq.gz	cell23971_110	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
23971_#111	ERS3961069	SAMEA6161058	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYB	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#111	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#111	sequencing assay	ERX3640705	23971_111_R1.fastq.gz	23971_111_R1.fastq.gz	ERR3648621	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3648621/ERR3648621_1.fastq.gz	cell23971_111	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
